Time	Comment	Temperature [C]	Humidity [%]	Sequence #	Data Points	0	62.5	125	187.5	250	312.5	375	437.5	500	562.5	625	687.5	750	812.5	875	937.5	1000	1062.5	1125	1187.5	1250	1312.5	1375	1437.5	1500	1562.5	1625	1687.5	1750	1812.5	1875	1937.5	2000	2062.5	2125	2187.5	2250	2312.5	2375	2437.5	2500	2562.5	2625	2687.5	2750	2812.5	2875	2937.5	3000	3062.5	3125	3187.5	3250	3312.5	3375	3437.5	3500	3562.5	3625	3687.5	3750	3812.5	3875	3937.5	4000	4062.5	4125	4187.5	4250	4312.5	4375	4437.5	4500	4562.5	4625	4687.5	4750	4812.5	4875	4937.5	5000	5062.5	5125	5187.5	5250	5312.5	5375	5437.5	5500	5562.5	5625	5687.5	5750	5812.5	5875	5937.5	6000	6062.5	6125	6187.5	6250	6312.5	6375	6437.5	6500	6562.5	6625	6687.5	6750	6812.5	6875	6937.5	7000	7062.5	7125	7187.5	7250	7312.5	7375	7437.5	7500	7562.5	7625	7687.5	7750	7812.5	7875	7937.5	8000	8062.5	8125	8187.5	8250	8312.5	8375	8437.5	8500	8562.5	8625	8687.5	8750	8812.5	8875	8937.5	9000	9062.5	9125	9187.5	9250	9312.5	9375	9437.5	9500	9562.5	9625	9687.5	9750	9812.5	9875	9937.5	10000	10062.5	10125	10187.5	10250	10312.5	10375	10437.5	10500	10562.5	10625	10687.5	10750	10812.5	10875	10937.5	11000	11062.5	11125	11187.5	11250	11312.5	11375	11437.5	11500	11562.5	11625	11687.5	11750	11812.5	11875	11937.5	12000	12062.5	12125	12187.5	12250	12312.5	12375	12437.5	12500	12562.5	12625	12687.5	12750	12812.5	12875	12937.5	13000	13062.5	13125	13187.5	13250	13312.5	13375	13437.5	13500	13562.5	13625	13687.5	13750	13812.5	13875	13937.5	14000	14062.5	14125	14187.5	14250	14312.5	14375	14437.5	14500	14562.5	14625	14687.5	14750	14812.5	14875	14937.5	15000	15062.5	15125	15187.5	15250	15312.5	15375	15437.5	15500	15562.5	15625	15687.5	15750	15812.5	15875	15937.5	16000	16062.5	16125	16187.5	16250	16312.5	16375	16437.5	16500	16562.5	16625	16687.5	16750	16812.5	16875	16937.5	17000	17062.5	17125	17187.5	17250	17312.5	17375	17437.5	17500	17562.5	17625	17687.5	17750	17812.5	17875	17937.5	18000	18062.5	18125	18187.5	18250	18312.5	18375	18437.5	18500	18562.5	18625	18687.5	18750	18812.5	18875	18937.5	19000	19062.5	19125	19187.5	19250	19312.5	19375	19437.5	19500	19562.5	19625	19687.5	19750	19812.5	19875	19937.5	20000	20062.5	20125	20187.5	20250	20312.5	20375	20437.5	20500	20562.5	20625	20687.5	20750	20812.5	20875	20937.5	21000	21062.5	21125	21187.5	21250	21312.5	21375	21437.5	21500	21562.5	21625	21687.5	21750	21812.5	21875	21937.5	22000	22062.5	22125	22187.5	22250	22312.5	22375	22437.5	22500	22562.5	22625	22687.5	22750	22812.5	22875	22937.5	23000	23062.5	23125	23187.5	23250	23312.5	23375	23437.5	23500	23562.5	23625	23687.5	23750	23812.5	23875	23937.5	24000	24062.5	24125	24187.5	24250	24312.5	24375	24437.5	24500	24562.5	24625	24687.5	24750	24812.5	24875	24937.5	25000	25062.5	25125	25187.5	25250	25312.5	25375	25437.5	25500	25562.5
00:00:33		14.0	28.2	51780	410	0	0	0	7	13	16	17	17	19	18	17	19	19	19	20	19	19	18	18	18	18	18	18	17	17	18	17	16	16	17	17	18	17	16	19	18	17	18	19	18	19	21	19	20	21	21	20	23	22	19	22	24	22	19	21	20	20	25	24	20	23	25	22	24	26	24	22	27	24	22	25	26	22	25	26	20	23	26	23	24	24	23	15	19	19	16	21	22	20	21	22	20	19	23	22	18	19	20	18	17	18	17	15	18	18	16	16	16	15	14	15	14	12	15	16	13	13	13	12	12	11	12	12	11	10	10	11	11	9	10	10	9	9	9	8	8	8	8	10	10	11	11	11	11	11	10	10	11	11	12	11	10	10	10	10	10	13	13	12	14	12	10	15	15	10	14	15	12	14	13	10	9	10	9	9	11	13	14	13	15	14	11	15	14	13	14	15	13	12	14	11	9	12	10	10	8	8	8	8	8	7	7	8	8	8	7	7	8	9	7	8	8	7	7	6	6	7	6	6	7	7	8	9	8	8	8	9	8	9	9	9	10	9	8	8	9	10	9	9	8	8	8	9	9	8	8	7	7	6	7	6	7	6	5	6	7	7	7	7	9	9	9	6	5	5	4	3	3	3	4	4	4	4	4	4	6	6	7	6	6	6	6	6	7	7	7	7	7	8	7	7	7	6	6	7	7	7	7	7	7	7	7	7	8	9	8	8	8	6	6	6	7	6	8	6	5	6	5	6	6	6	7	10	10	8	8	10	10	8	6	10	8	7	7	7	8	9	8	9	9	9	8	7	8	9	9	9	8	7	8	9	10	6	5	7	7	6	5	6	5	4	6	6	6	7	6	5	5	6	5	5	5	4	4	3	4	4	4	3	2	3	2	1	1	0	1	1	1	2	2	2	3	3	2	2	4	3	1	2	3	3	2	3	4	3	3	3	3	1	1
00:00:33		14.0	28.2	51781	410	0	0	0	6	12	15	15	17	17	16	17	18	18	17	16	17	16	16	17	17	16	16	16	15	15	16	15	14	15	14	14	15	14	13	14	14	15	15	15	14	14	14	14	14	14	15	16	16	15	16	16	17	16	16	17	16	17	17	17	17	17	16	16	17	16	16	17	17	17	17	17	17	17	17	16	16	16	17	18	18	17	13	14	14	13	13	13	14	12	13	15	14	13	12	13	13	14	14	13	13	13	13	13	14	13	12	12	13	12	11	12	12	11	10	10	10	12	11	11	12	12	12	11	12	12	11	10	12	12	9	8	8	8	9	9	9	8	9	10	10	9	9	10	9	9	9	10	10	10	9	8	9	9	9	9	9	8	7	7	7	8	8	7	7	7	7	8	8	8	8	7	6	7	7	6	7	7	6	4	5	6	6	6	6	7	7	7	9	8	8	8	7	6	6	6	7	7	5	5	7	7	6	6	7	8	8	7	7	7	8	7	7	7	7	7	6	6	6	5	7	8	8	8	7	7	7	7	8	8	8	9	9	8	8	9	8	9	8	7	9	8	7	7	6	7	7	6	4	5	5	5	5	6	6	7	7	6	7	7	7	7	6	5	5	5	4	3	3	3	3	3	5	5	4	5	6	5	6	6	6	5	6	6	7	7	8	7	8	7	6	7	7	7	7	8	8	8	7	7	6	7	7	6	6	6	5	6	6	5	5	4	4	5	4	4	4	5	5	5	4	4	5	6	6	5	6	6	6	6	6	7	7	6	7	7	8	8	7	7	7	7	6	7	7	6	6	7	6	5	5	5	4	4	4	3	5	5	4	4	4	5	5	6	7	7	6	5	5	5	5	4	5	5	4	4	3	3	4	4	3	3	3	3	2	2	0	1	1	2	3	2	2	3	2	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
00:00:34		14.0	28.2	51782	410	0	0	0	7	12	15	15	17	18	18	18	18	18	18	18	18	18	16	16	16	16	16	15	15	15	14	14	14	14	14	14	14	14	14	14	14	15	13	13	14	14	14	15	15	16	16	15	15	15	15	15	15	15	15	16	16	16	16	17	16	15	16	17	16	17	17	17	17	16	17	16	17	16	15	16	14	16	17	18	21	19	15	12	13	15	14	13	13	13	13	15	14	12	13	13	14	15	14	14	14	14	13	13	13	13	14	14	13	12	13	13	13	12	13	13	11	11	11	12	11	11	10	11	12	12	11	11	11	11	11	10	10	10	10	9	8	8	9	10	11	10	10	9	9	9	9	10	10	10	9	9	9	9	9	9	9	9	9	8	7	7	7	8	7	7	7	8	9	9	9	8	8	8	7	6	7	7	6	6	7	7	6	7	6	6	7	7	7	8	8	8	6	6	6	6	5	6	6	6	6	7	6	5	6	7	7	7	7	7	8	7	7	7	7	6	6	6	5	5	7	7	7	7	7	7	8	8	7	8	8	9	8	8	9	9	9	8	8	8	8	8	7	7	7	7	7	6	6	5	5	5	5	5	5	5	6	5	6	6	6	6	5	5	4	4	3	3	3	2	2	4	5	5	4	4	5	5	5	5	5	5	5	6	7	8	7	7	7	7	7	7	7	6	6	6	7	6	5	6	6	6	6	6	5	6	6	5	5	5	5	5	4	3	3	2	3	3	3	3	3	3	3	5	5	5	5	6	6	7	7	6	6	6	7	7	8	8	8	8	8	7	6	6	7	6	7	7	7	6	6	5	4	4	3	3	4	3	4	4	5	4	4	5	6	7	7	6	5	5	4	4	5	5	4	4	3	4	3	2	2	3	2	2	1	1	0	0	0	2	4	2	2	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
00:00:34		13.8	28.1	51783	410	0	0	0	6	12	15	17	18	18	19	18	18	18	19	19	17	16	16	18	17	16	16	16	16	15	14	14	14	13	13	14	14	13	13	13	13	13	13	14	14	14	15	14	14	14	14	16	15	15	16	15	15	16	16	16	17	17	16	16	16	16	15	16	16	17	17	16	16	17	17	16	15	17	18	17	17	16	15	17	18	18	16	13	14	15	14	14	14	13	14	14	13	12	13	14	13	14	13	13	12	12	10	12	13	12	12	12	11	12	12	11	10	11	12	12	12	11	11	12	12	12	11	9	9	10	11	10	10	9	9	10	10	10	9	9	9	9	9	10	9	10	10	9	9	10	10	10	10	9	9	9	9	9	9	9	10	8	8	7	6	7	9	8	8	7	8	8	9	9	8	7	7	8	8	7	6	6	5	5	6	6	5	5	4	5	7	7	8	7	7	7	7	6	6	6	7	6	6	6	6	6	6	7	7	6	6	7	7	8	8	8	7	7	7	6	6	6	5	6	6	8	7	7	8	7	7	6	7	7	7	9	10	9	9	8	8	8	8	8	8	8	7	7	7	7	6	5	6	4	4	4	4	4	5	6	7	7	6	5	5	5	4	4	4	3	4	4	3	4	3	3	5	5	5	5	5	6	6	6	5	5	6	6	7	7	7	7	7	7	7	7	7	7	6	7	7	8	7	7	7	7	7	7	6	6	6	6	6	5	5	5	5	5	3	2	3	3	3	3	3	3	5	5	6	5	6	7	6	6	7	7	6	6	7	8	8	8	8	7	8	7	7	7	7	7	7	6	5	5	4	4	4	4	4	5	4	4	4	4	4	5	5	6	7	7	6	6	5	5	5	6	5	5	5	4	4	4	3	3	3	2	2	1	1	2	1	1	1	2	3	3	3	2	2	2	2	1	1	2	1	0	0	1	1	1	0	0	0	0	0
00:00:35		13.8	28.1	51784	410	0	0	1	9	13	15	16	17	17	17	18	18	18	18	18	18	17	18	18	17	17	16	15	16	15	14	14	15	14	14	14	14	14	14	15	14	14	13	13	14	16	16	14	14	14	14	14	15	15	15	15	14	14	15	16	15	15	15	15	15	17	15	15	15	16	17	17	16	18	17	16	16	16	16	16	16	16	16	18	18	18	15	14	13	13	15	15	15	13	12	13	14	14	13	12	14	14	14	14	12	13	13	12	12	11	12	12	12	12	13	14	13	12	12	12	13	12	11	13	13	12	11	11	11	11	12	11	11	12	12	10	9	9	10	11	11	11	11	10	10	10	9	10	10	10	10	10	11	9	9	10	11	10	9	9	9	9	8	9	9	8	10	10	9	9	9	10	10	9	10	10	10	9	9	10	10	9	9	10	10	9	9	9	8	7	9	10	10	10	10	10	9	9	9	9	9	10	10	9	10	10	9	9	9	10	9	9	11	10	10	10	10	8	7	7	7	7	7	7	7	8	9	7	8	8	8	8	8	8	9	9	9	8	8	8	9	8	8	8	8	8	8	8	7	7	6	6	6	5	5	5	4	4	5	6	7	7	6	6	5	6	4	4	4	4	3	3	3	4	4	4	5	4	5	5	6	6	6	5	5	5	6	7	6	6	7	7	7	8	8	8	8	7	7	7	8	7	7	8	7	7	7	6	7	7	6	7	6	6	6	6	5	5	4	4	4	4	5	5	5	4	4	5	6	6	6	5	6	6	6	6	7	6	6	6	7	8	8	8	7	7	7	6	6	7	7	6	6	6	5	3	3	3	3	4	4	3	4	4	4	3	5	6	6	7	6	6	4	4	4	5	5	5	4	4	4	2	3	3	2	2	3	1	1	1	0	0	0	1	2	2	3	2	2	2	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0
00:00:35		13.8	28.1	51785	410	0	0	0	7	12	14	15	16	17	18	18	18	19	19	19	18	18	18	17	17	16	17	17	16	16	15	15	16	16	16	14	15	15	16	15	15	16	16	16	16	16	17	16	17	17	17	18	18	18	19	20	19	19	19	19	19	19	18	18	18	17	18	18	18	19	19	19	19	19	19	18	19	19	19	20	20	19	19	21	22	20	17	16	17	17	16	16	17	16	18	17	16	16	17	16	16	16	16	16	15	16	14	16	15	15	15	14	15	15	13	14	16	15	15	14	14	13	14	14	14	13	14	13	15	14	14	14	13	15	13	15	15	13	16	15	14	16	14	17	16	15	19	15	19	16	17	18	15	17	16	13	15	12	14	14	13	13	11	14	12	13	14	14	15	16	10	15	14	15	17	13	16	14	15	13	12	11	9	9	11	9	8	9	8	11	10	9	10	9	9	9	10	9	10	11	9	8	7	7	8	8	9	9	8	9	8	9	10	9	10	10	9	9	7	8	7	6	7	7	8	8	8	9	9	10	10	8	9	9	10	10	9	9	9	9	9	8	9	9	9	9	8	7	7	7	7	5	5	4	4	5	5	6	6	7	8	8	6	7	7	7	5	5	4	5	5	5	4	5	5	7	6	6	7	6	7	7	7	8	7	7	7	7	8	8	8	8	8	8	7	8	8	8	7	7	8	8	8	6	7	8	7	7	7	7	7	6	6	5	6	6	5	4	4	4	4	4	5	5	5	5	6	6	6	6	7	7	6	5	6	6	6	7	7	7	7	8	8	7	7	6	6	7	7	7	7	7	6	6	5	6	4	4	4	4	4	4	4	4	4	5	5	5	6	7	6	5	5	5	5	5	4	5	5	4	3	3	2	2	2	2	2	1	1	2	1	1	2	1	1	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
00:00:36		13.8	28.1	51786	410	0	0	0	7	12	15	17	17	17	17	17	19	19	19	19	18	18	18	17	16	15	16	16	15	15	15	15	14	13	13	14	14	14	15	14	14	14	14	14	15	16	16	16	16	15	15	15	16	16	16	16	17	17	17	17	17	17	16	17	17	17	16	16	16	16	17	16	16	17	17	18	17	17	17	17	17	16	18	19	19	17	14	13	13	14	14	14	14	13	12	12	13	14	14	14	14	13	13	13	12	13	12	12	13	11	12	12	12	12	12	11	10	12	11	11	11	10	10	11	11	12	10	10	11	11	12	11	11	11	10	9	10	9	9	9	9	9	9	9	9	9	10	11	10	10	10	10	10	11	10	10	10	10	9	8	8	8	9	9	7	8	9	8	9	9	10	10	10	10	9	8	8	9	9	8	8	7	7	7	6	7	8	8	9	8	8	7	7	8	7	8	8	7	7	7	6	5	6	7	6	6	8	8	7	7	7	7	7	7	7	6	6	7	7	7	6	6	6	6	6	7	7	8	7	7	7	8	8	8	8	9	10	9	8	9	9	9	8	8	8	8	7	7	7	7	6	5	4	4	3	3	5	5	5	6	7	7	7	7	6	6	5	5	5	5	3	4	4	5	5	4	5	5	4	5	4	5	6	5	5	5	6	6	6	6	8	8	7	7	7	7	7	6	7	7	7	6	5	6	7	7	7	7	7	6	6	6	6	6	6	6	6	5	4	3	3	2	3	4	3	3	4	3	4	5	6	5	6	6	6	7	7	6	7	7	8	8	8	8	8	7	6	6	6	6	7	6	6	5	4	3	3	4	4	4	4	4	4	4	4	4	5	5	6	6	6	5	4	4	4	4	4	3	3	3	3	2	2	3	3	2	2	2	1	2	1	0	1	1	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0
00:00:36		13.9	28.1	51787	410	0	0	0	7	11	14	17	18	17	17	17	18	19	19	18	17	17	16	17	17	16	16	15	15	15	15	13	13	14	13	13	13	13	14	14	13	13	13	13	14	14	14	15	14	14	14	14	14	15	15	16	14	14	15	15	13	13	14	16	16	15	15	15	16	15	16	15	14	16	17	16	15	15	15	15	15	16	15	16	16	15	14	13	13	13	13	13	14	14	15	13	13	13	12	12	12	12	13	12	11	11	12	12	12	12	10	11	12	12	11	11	11	11	12	11	11	12	11	11	11	12	12	11	11	12	12	12	12	12	12	12	12	11	11	11	11	12	12	13	13	12	11	11	13	12	12	12	12	13	14	12	11	13	13	12	11	12	12	12	11	11	12	12	11	12	11	12	13	13	12	12	12	11	11	11	11	11	11	10	11	12	11	10	11	10	11	11	11	11	11	11	11	10	10	10	10	9	10	9	9	10	11	11	11	11	10	11	11	11	12	12	10	10	10	10	10	10	9	10	11	9	9	10	10	10	9	9	9	10	10	9	10	10	10	10	9	10	10	10	9	10	9	9	9	8	7	8	6	7	8	8	7	8	8	7	8	8	6	7	8	8	7	6	6	8	8	7	7	7	6	7	7	5	5	6	8	7	6	6	8	7	6	7	7	8	8	7	7	9	8	6	7	7	8	8	7	7	8	7	7	7	7	7	6	5	5	6	6	5	4	5	6	6	4	4	4	3	4	4	2	3	5	5	5	5	6	6	6	6	6	7	7	7	6	6	7	8	8	7	7	6	6	7	7	6	5	6	5	4	4	4	4	4	3	3	3	4	4	4	3	3	4	6	6	6	6	5	5	5	5	4	4	5	4	3	3	3	3	3	3	3	2	2	0	1	2	1	0	1	1	2	2	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0
00:00:37		13.9	28.1	51788	410	0	0	0	6	12	15	15	17	18	18	18	19	19	18	19	18	18	18	18	17	16	16	16	17	15	15	14	13	13	13	13	14	14	14	13	13	13	13	13	13	14	15	15	14	14	15	15	14	15	17	15	15	15	15	15	15	15	14	14	16	16	16	16	16	15	15	15	17	17	16	15	16	15	15	16	15	15	16	17	17	16	13	11	11	12	12	13	13	13	12	13	13	12	13	13	12	12	13	14	13	14	15	13	13	13	12	13	13	12	12	11	13	12	11	11	10	10	11	11	11	10	10	11	10	10	10	11	12	10	10	10	10	9	9	10	10	10	9	8	9	10	10	9	10	10	10	9	10	10	10	10	9	10	10	11	11	10	10	9	9	9	9	9	9	9	9	9	9	8	8	9	9	7	7	8	7	8	7	7	6	6	7	6	6	6	7	7	7	7	8	8	8	7	6	6	6	6	7	6	6	7	8	8	7	7	7	8	8	8	9	8	8	7	7	6	7	6	6	6	7	7	8	8	7	8	8	8	9	8	9	9	9	9	8	9	8	8	8	8	8	8	7	7	6	6	6	6	5	4	4	5	6	6	6	7	7	7	7	7	8	7	5	4	4	4	4	4	4	3	2	3	4	4	4	4	4	5	4	4	5	5	5	7	7	7	8	7	7	7	8	8	8	7	7	6	7	7	6	6	6	6	7	6	5	6	6	5	4	5	5	5	5	4	3	3	3	4	4	3	3	3	4	5	5	5	5	5	6	6	6	6	6	6	6	6	7	7	7	7	7	7	6	6	6	6	6	6	6	6	5	4	4	4	4	4	4	4	4	4	4	5	5	5	6	7	6	5	5	5	5	5	5	4	4	4	3	3	3	3	2	3	3	3	3	4	3	2	2	2	2	2	3	3	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
00:00:37		13.9	28.2	51789	410	0	0	0	8	12	15	18	18	17	17	17	18	18	19	20	18	18	18	18	18	16	15	16	17	17	16	15	15	15	17	16	14	14	15	16	17	17	17	18	17	16	17	19	18	17	17	19	19	18	18	17	18	20	20	18	17	17	17	17	18	18	18	17	17	19	17	17	17	16	16	16	16	17	17	17	17	16	15	16	17	17	15	14	14	14	14	13	13	13	13	13	11	12	13	13	14	13	13	13	12	12	12	13	13	12	12	12	13	14	14	14	14	13	12	12	13	14	14	13	12	13	13	13	13	12	13	12	12	12	12	12	12	11	11	10	9	9	10	11	10	10	10	10	10	11	11	10	10	10	9	9	9	10	11	10	11	10	10	9	9	9	8	8	7	8	10	9	8	9	9	9	9	10	10	10	10	9	10	9	8	9	9	8	8	9	8	8	9	8	8	8	9	9	9	8	7	7	7	7	8	8	7	7	7	7	8	8	8	8	8	8	8	8	7	7	6	5	6	6	7	8	9	9	8	8	8	8	8	9	9	9	9	9	9	9	9	8	8	8	8	8	8	7	8	7	6	6	6	5	4	5	5	6	7	7	6	6	6	7	7	6	6	6	6	5	4	3	3	4	4	4	4	5	5	6	5	6	6	5	6	6	7	7	7	7	7	7	7	6	7	8	8	7	7	7	7	6	6	6	6	6	6	6	6	6	6	5	5	6	5	5	4	4	3	3	2	3	3	3	3	3	4	5	5	5	6	5	5	6	6	6	6	6	6	6	7	7	7	7	7	7	6	6	7	7	7	6	6	6	5	4	4	4	5	4	4	5	4	4	4	4	4	5	6	6	6	6	5	4	5	5	5	4	4	3	3	3	3	3	4	3	2	2	1	1	1	0	0	1	1	2	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:00:38		13.9	28.2	51790	410	0	0	0	7	12	15	16	17	17	17	17	17	18	20	20	18	17	17	17	17	18	17	17	16	15	14	14	14	14	14	14	15	15	14	14	15	15	15	15	17	15	14	17	17	16	17	18	17	15	18	19	18	16	18	19	18	18	21	20	18	20	20	18	18	22	22	18	19	21	20	17	21	23	21	18	22	23	20	17	20	19	16	16	20	21	18	18	21	19	15	19	21	18	15	21	21	16	19	21	19	14	20	20	16	13	17	17	14	15	19	19	14	17	20	18	14	19	20	15	15	19	18	15	17	19	17	15	17	17	16	16	16	16	18	16	16	20	18	12	16	18	16	15	19	18	14	16	19	18	12	17	18	13	14	17	16	12	12	13	11	11	11	11	10	9	10	9	8	8	10	9	9	12	11	8	10	13	11	8	11	11	8	11	13	8	12	15	12	12	15	14	12	14	13	13	14	12	12	13	13	14	15	15	15	14	14	13	14	16	12	12	15	12	11	14	12	14	15	13	10	13	13	11	12	12	13	13	14	15	15	13	15	16	13	13	16	14	13	17	16	13	14	15	14	11	12	13	10	11	15	13	9	11	12	10	10	12	12	11	9	11	11	8	6	7	7	5	4	6	5	4	5	5	6	6	7	5	5	5	6	5	6	7	7	6	7	8	8	8	7	8	7	8	10	10	8	7	8	8	8	8	8	9	8	8	10	9	7	7	8	8	7	6	8	7	5	9	9	7	7	9	8	7	10	11	7	9	12	11	8	10	11	9	11	13	12	12	12	11	11	10	7	9	9	9	9	9	8	7	6	7	6	6	6	5	4	5	7	7	5	5	6	7	7	8	8	7	5	7	8	7	5	7	7	5	5	5	4	4	4	3	2	2	2	3	2	1	1	2	3	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	0	0	0	0	0
00:00:38		13.9	28.1	51791	410	0	0	0	8	12	15	16	16	16	17	17	17	19	19	18	17	17	17	17	17	16	15	15	15	14	13	14	14	13	13	14	14	13	14	14	14	14	15	15	14	14	15	15	15	14	15	17	16	16	17	16	17	17	16	16	16	16	16	16	17	17	15	16	17	16	16	16	16	17	17	17	18	16	16	18	17	17	16	16	18	17	14	13	13	14	13	13	13	13	13	12	13	14	13	13	13	13	13	13	12	13	13	12	12	13	12	13	12	12	11	11	11	11	10	10	11	12	12	12	12	11	11	11	10	10	11	12	12	10	10	10	9	10	10	9	9	9	9	9	10	9	9	10	11	10	10	11	10	10	10	9	9	9	10	10	10	9	9	9	9	9	9	8	9	9	10	10	8	9	9	10	10	10	9	10	10	9	9	9	8	8	8	8	7	7	7	8	9	10	9	9	8	8	8	7	7	7	7	7	7	7	6	7	7	7	7	8	8	7	8	9	9	8	8	7	6	6	6	7	8	7	8	9	9	7	8	8	8	8	9	8	9	9	9	9	9	9	8	9	9	9	8	7	8	8	6	6	6	4	5	5	6	6	6	7	6	5	6	6	6	5	5	6	4	4	5	5	5	4	4	3	5	6	5	5	6	5	5	5	5	5	5	6	6	7	8	7	7	7	6	6	7	7	7	7	8	7	7	7	8	7	7	7	7	7	7	6	7	7	7	7	6	6	5	4	4	4	4	4	4	4	5	4	4	4	5	6	5	6	6	6	7	7	7	7	8	8	7	8	7	8	8	7	7	7	8	8	8	7	6	6	6	6	6	6	6	6	6	5	5	6	5	6	6	7	6	6	6	5	6	5	5	5	5	5	4	3	3	2	1	2	3	1	1	1	0	0	1	1	2	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:00:39		13.9	28.1	51792	410	0	0	0	6	12	15	16	16	17	18	17	17	18	18	17	17	17	17	17	16	16	15	16	16	16	16	15	15	15	15	14	13	13	14	15	14	13	14	15	15	14	15	15	15	15	15	15	16	17	17	16	17	17	16	16	17	17	17	17	18	18	16	15	17	18	18	18	18	18	19	18	19	19	18	19	18	18	18	19	20	19	16	14	14	16	14	14	14	15	15	15	14	14	15	15	14	14	14	13	14	15	14	15	14	14	13	12	13	13	14	13	14	13	14	13	14	14	14	14	13	13	13	13	13	13	12	13	12	11	11	11	11	11	11	11	10	9	10	10	10	10	12	11	11	11	12	11	11	10	11	10	10	10	10	10	10	10	9	9	10	11	10	8	8	9	9	9	9	9	9	8	7	7	8	7	7	7	8	8	7	7	6	6	7	7	7	8	8	8	8	8	7	7	7	7	7	5	6	6	7	7	7	6	7	6	6	7	8	7	7	7	7	7	6	7	7	7	7	6	7	7	8	9	8	7	7	9	9	9	9	10	10	9	9	9	9	8	8	9	8	8	8	7	7	7	7	6	6	5	6	6	4	5	4	5	6	6	6	6	6	6	5	4	5	5	3	4	3	4	4	4	5	5	4	5	6	6	5	4	4	5	6	6	7	7	7	8	8	8	7	7	7	7	7	7	7	7	6	7	7	6	7	7	6	6	7	6	6	6	5	5	5	4	4	4	4	4	3	4	4	4	4	5	5	5	6	5	5	5	6	6	6	7	7	7	7	8	8	7	7	7	7	7	7	7	7	7	7	6	5	4	4	4	5	4	4	5	5	4	4	5	5	6	6	6	6	6	6	5	5	5	5	5	5	5	3	3	4	3	2	2	2	2	1	1	1	2	1	2	2	3	3	2	2	3	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0
00:00:39		13.9	28.1	51793	410	0	0	0	6	12	14	16	18	18	17	17	17	17	18	17	17	17	17	17	17	16	16	15	15	15	16	15	15	14	14	13	13	13	14	14	12	12	13	12	12	13	14	14	14	14	14	13	15	15	15	15	15	15	15	14	15	16	15	15	16	15	14	16	16	16	15	16	17	17	15	15	15	16	16	16	15	15	15	15	15	14	13	12	13	12	12	13	13	12	11	12	12	12	12	12	14	13	11	11	12	12	12	12	12	12	11	12	12	11	11	11	12	11	12	12	12	12	12	13	13	12	10	11	11	11	10	11	10	10	10	10	11	10	9	9	9	9	9	9	10	10	9	10	11	10	10	10	10	9	9	9	9	9	9	9	9	8	8	8	9	9	8	7	8	9	10	10	10	8	9	9	9	9	9	8	8	7	7	8	8	7	8	8	7	7	8	8	8	9	7	8	8	8	8	7	7	7	8	8	7	8	7	7	8	8	8	8	8	7	7	8	8	8	7	8	7	7	7	7	7	8	8	8	8	8	9	8	7	8	9	10	10	10	10	9	9	9	9	9	9	9	8	7	7	7	7	7	7	5	3	4	6	6	6	6	7	7	7	6	7	6	5	4	5	4	4	5	5	3	4	4	5	5	4	5	5	5	6	6	6	5	5	6	7	7	8	8	8	7	7	7	7	7	7	7	7	7	7	7	6	8	8	7	6	6	6	7	7	6	6	6	6	4	4	3	3	4	4	4	3	3	4	4	5	5	6	6	6	6	7	7	7	7	7	7	8	8	8	8	8	7	6	7	7	6	7	7	7	6	5	4	4	4	4	4	5	5	5	4	5	5	4	6	7	7	7	6	6	5	5	6	5	4	4	5	4	4	3	3	3	3	3	3	0	1	0	1	1	1	1	0	2	2	2	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0
